Cidade;Nome da Rota / Dia Pronto;Atrações Inclusas;Descrição Geral do Dia
"Tokyo";"Dia 16/05 (noite): Chegada (16:00 hrs) só para jantar e dormir";"";"Passeio programado pelo dia: Dia 16/05 (noite): Chegada (16:00 hrs) só para jantar e dormir"
"Tokyo";"Dia 17/05 (dia inteiro): Tsukiji + Ginza + Palácio Imperial + TeamLab Borderless";"Tsukiji Outer Market, Ginza, Palácio Imperial, TeamLab Borderless";"Passeio programado pelo dia: Dia 17/05 (dia inteiro): Tsukiji + Ginza + Palácio Imperial + TeamLab Borderless"
"Tokyo";"Dia 18/05 (dia inteiro): Asakusa + Ueno + Shinjuku ➔ TOUR GUIADO (6 hrs)";"Asakusa, Ueno, Shinjuku, Omoide Yokocho";"Passeio programado pelo dia: Dia 18/05 (dia inteiro): Asakusa + Ueno + Shinjuku ➔ TOUR GUIADO (6 hrs)"
"Tokyo";"Dia 19/05 (manhã/tarde): Meiji Jingu + Harajuku + Shibuya + Ida a Kyoto";"Santuário Meiji Jingu, Harajuku, Shibuya, Estátua Hachiko, Shibuya Sky (mirante futurista a céu aberto com vistas panorâmicas de 360° de Tokyo).";"Passeio programado pelo dia: Dia 19/05 (manhã/tarde): Meiji Jingu + Harajuku + Shibuya + Ida a Kyoto"
"Kyoto";"Dia 19/05 (noite): Chegada + Jantar em Pontocho";"";"Passeio programado pelo dia: Dia 19/05 (noite): Chegada + Jantar em Pontocho"
"Kyoto";"Dia 20/05 (dia inteiro): Gion + Higashiyama + Mercados Nishiki e Teramachi ➔ TOUR GUIADO (6 hrs)";"Rio Kamogawa + estátua Izumo no Okuni, Gion Shirakawa, Kennin-ji, Hanamikoji-dori, Yasaka-no-to, Kyomizu-dera + sannenzaka e ninnenzaka, Maruyama Park, Santuário Yasaka jinja, Mercados Nishiki e Teramachi";"Passeio programado pelo dia: Dia 20/05 (dia inteiro): Gion + Higashiyama + Mercados Nishiki e Teramachi ➔ TOUR GUIADO (6 hrs)"
"Kyoto";"Dia 21/05 (manhã/tarde): Pavilhão Dourado + Arashiyama + Fushimi Inari + Ida a Osaka";"Kinkaku-ji (Pavilhão Dourado), Arashiyama, Fushimi Inari Taisha";"Passeio programado pelo dia: Dia 21/05 (manhã/tarde): Pavilhão Dourado + Arashiyama + Fushimi Inari + Ida a Osaka"
"Osaka";"Dia 21/05 (noite): Chegada + Shinsekai";"Bairro Shinsekai";"Passeio programado pelo dia: Dia 21/05 (noite): Chegada + Shinsekai"
"Osaka";"Dia 22/05 (dia inteiro): Castelo de Osaka + Kuromon Market + Namba Yasaka Jinja + Dotonbori + Shinsaibashi ➔ TOUR GUIADO (6 hrs)";"Castelo de Osaka, Kuromon Market, Namba, Canal e Rua Dotonbori, Shinsaibashi";"Passeio programado pelo dia: Dia 22/05 (dia inteiro): Castelo de Osaka + Kuromon Market + Namba Yasaka Jinja + Dotonbori + Shinsaibashi ➔ TOUR GUIADO (6 hrs)"
"Osaka";"Dia 23/05 (manhã): Umeda Sky Building + Ida a Okinawa";"Umeda Sky Building*";"Passeio programado pelo dia: Dia 23/05 (manhã): Umeda Sky Building + Ida a Okinawa"
"Okinawa";"Dia 23/05 (tarde/noite): Chegada (16:15 hrs) + Sunset Beach";"Sunset Beach";"Passeio programado pelo dia: Dia 23/05 (tarde/noite): Chegada (16:15 hrs) + Sunset Beach"
"Okinawa";"Dia 24/05 (dia inteiro): (Centro-Norte) Nirai Beach + Cape Zanpa + Cape Maeda + Beach 51 + Vila Americana ➔ TOUR GUIADO (8 hrs, com carro privativo)";"Nirai Beach, Cape Zanpa, Cape Maeda, Beach 51, Vila Americana";"Passeio programado pelo dia: Dia 24/05 (dia inteiro): (Centro-Norte) Nirai Beach + Cape Zanpa + Cape Maeda + Beach 51 + Vila Americana ➔ TOUR GUIADO (8 hrs, com carro privativo)"
"Okinawa";"Dia 25/05 (dia inteiro): (Sul) Okinawa World + Memorial Peace Park + Senaga Island ➔ TOUR GUIADO (8 hrs, com carro privativo)";"Parque Temático Okinawa World, Memorial Peace Park, Senaga Island";"Passeio programado pelo dia: Dia 25/05 (dia inteiro): (Sul) Okinawa World + Memorial Peace Park + Senaga Island ➔ TOUR GUIADO (8 hrs, com carro privativo)"
"Okinawa";"Dia 26/05 (manhã): Araha Beach + Umikaji Terrace + Ida a Tokyo";"Araha Beach, Umikaji Terrace";"Passeio programado pelo dia: Dia 26/05 (manhã): Araha Beach + Umikaji Terrace + Ida a Tokyo"
"Tokyo";"Dia 26/05 (noite): Chegada para jantar e dormir";"";"Passeio programado pelo dia: Dia 26/05 (noite): Chegada para jantar e dormir"
"Tokyo";"Dia 27/05 (manhã): Minato + Volta aos EUA/Brasil";"Minato*";"Passeio programado pelo dia: Dia 27/05 (manhã): Minato + Volta aos EUA/Brasil"
